Location,Road,Road_Name,Time_Interval,Date,Time,Direction_Negative,Number_of_Vehicles,Average_Speed,Traffic_Type,Direction_Positive,Number_of_Vehicles,Average_Speed,Traffic_Type
Norkaičiai,4521,Skaudvilė–Gervėčiai,15,2023-11-15,09:00:42,positive,0,,normal,negative,0,,normal
Tarpučiai,A7,Marijampolė–Kybartai–Kaliningradas,15,2023-11-15,09:00:00,positive,53,55.12,normal,negative,89,52.15,normal
Spanėnai,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-15,09:00:06,negative,136,65.33,normal,positive,137,61.87,heavy
Mantigailiai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,negative,44,110.26,heavy,positive,44,107.86,heavy
Barskūnai,5230,Paberžė–Barskūnai–Medžiukai,15,2023-11-15,09:00:36,negative,3,42.03,heavy,positive,0,,normal
Gaižiūnai,2832,Dūdanosiai–Gačkiškiai–Liudgarda,15,2023-11-15,09:00:00,negative,0,,normal,positive,0,,normal
Daržiniai,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-15,09:01:19,positive,76,99.05,normal,negative,36,115.66,normal
Virbalis,A7,Marijampolė–Kybartai–Kaliningradas,15,2023-11-15,09:00:48,positive,24,76.45,normal,negative,26,72.87,normal
Užukampis,A16,Vilnius–Prienai–Marijampolė,15,2023-11-15,09:00:00,negative,92,74.95,heavy,positive,102,73.67,heavy
Akademija,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-15,09:00:00,positive,290,88.79,normal,negative,305,86.64,normal
Kušliškiai,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-15,09:00:00,positive,0,,normal,negative,0,,normal
Kibyšiai,133,Merkinė–Leipalingis,15,2023-11-15,09:01:23,negative,4,103.65,normal,positive,9,92.46,normal
Poškaičiai,5207,Nemenčinė–Eitminiškės–Paberžė,15,2023-11-15,09:00:00,negative,8,82.76,normal,positive,8,80.96,normal
Juodbūdis,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-15,09:00:00,negative,30,117.33,normal,positive,99,96.97,normal
Rumšiškės,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,negative,301,106.99,heavy,positive,283,105.4,heavy
Liepona,A7,Marijampolė–Kybartai–Kaliningradas,15,2023-11-15,09:00:06,negative,14,26.19,slow,positive,9,22.22,slow
Neravai,A4,Vilnius–Varėna–Gardinas,15,2023-11-15,09:00:00,negative,17,73.16,heavy,positive,17,67.78,heavy
