roadNr,roadSegments,date
A7,"[{'direction': 'positive', 'startX': 435848.43, 'startY': 6056058.07, 'endX': 431026.16, 'endY': 6055879.5, 'winterSpeed': 50, 'summerSpeed': 50, 'numberOfVehicles': 19, 'averageSpeed': 66.67, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 435848.43, 'startY': 6056058.07, 'endX': 431026.16, 'endY': 6055879.5, 'winterSpeed': 50, 'summerSpeed': 50, 'numberOfVehicles': 29, 'averageSpeed': 62.14, 'trafficType': 'normal'}]",2023-11-12T15:00:42.000+0000
A9,"[{'direction': 'negative', 'startX': 514366.39, 'startY': 6177871.15, 'endX': 504993.03, 'endY': 6180974.8, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 19, 'averageSpeed': 85.97, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 514366.39, 'startY': 6177871.15, 'endX': 504993.03, 'endY': 6180974.8, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 14, 'averageSpeed': 84.32, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
2911,[],2023-11-12T15:01:22.000+0000
4524,"[{'direction': 'positive', 'startX': 389283.72, 'startY': 6128721.26, 'endX': 389648.72, 'endY': 6128774.44, 'winterSpeed': 50, 'summerSpeed': 50, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 389283.72, 'startY': 6128721.26, 'endX': 389648.72, 'endY': 6128774.44, 'winterSpeed': 50, 'summerSpeed': 50, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:18.000+0000
A2,"[{'direction': 'negative', 'startX': 522860.62, 'startY': 6169994.82, 'endX': 523942.1, 'endY': 6173989.78, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 68, 'averageSpeed': 90.56, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 522876.6, 'startY': 6170008.22, 'endX': 523952.65, 'endY': 6173986.87, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 61, 'averageSpeed': 90.12, 'trafficType': 'normal'}]",2023-11-12T15:00:41.000+0000
A7,"[{'direction': 'positive', 'startX': 440767.6, 'startY': 6055739.08, 'endX': 435848.43, 'endY': 6056058.07, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 9, 'averageSpeed': 94.01, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 440767.6, 'startY': 6055739.08, 'endX': 435848.43, 'endY': 6056058.07, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 31, 'averageSpeed': 86.66, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
219,"[{'direction': 'positive', 'startX': 387806.99, 'startY': 6244355.91, 'endX': 388658.08, 'endY': 6253066.81, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 2, 'averageSpeed': 91.2, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 387806.99, 'startY': 6244355.91, 'endX': 388658.08, 'endY': 6253066.81, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 12, 'averageSpeed': 88.33, 'trafficType': 'normal'}]",2023-11-12T15:01:30.000+0000
204,"[{'direction': 'positive', 'startX': 391741.16, 'startY': 6243683.64, 'endX': 391738.75, 'endY': 6243721.93, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 22, 'averageSpeed': 67.99, 'trafficType': 'heavy'}, {'direction': 'negative', 'startX': 391741.16, 'startY': 6243683.64, 'endX': 391722.12, 'endY': 6243719, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 13, 'averageSpeed': 69.92, 'trafficType': 'heavy'}]",2023-11-12T15:01:31.000+0000
1214,"[{'direction': 'negative', 'startX': 554746.24, 'startY': 6161672.3, 'endX': 548171.69, 'endY': 6156554.64, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 554746.24, 'startY': 6161672.3, 'endX': 548171.69, 'endY': 6156554.64, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:05.000+0000
A14,"[{'direction': 'negative', 'startX': 582017.64, 'startY': 6078081.45, 'endX': 583623.22, 'endY': 6081765.17, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 172, 'averageSpeed': 96.49, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 582017.64, 'startY': 6078081.45, 'endX': 583623.22, 'endY': 6081765.17, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 57, 'averageSpeed': 89.36, 'trafficType': 'normal'}]",2023-11-12T15:00:55.000+0000
