Location,Road,Road_Name,Time_Interval,Date,Time,Direction_Negative,Number_of_Vehicles,Average_Speed,Traffic_Type,Direction_Positive,Number_of_Vehicles,Average_Speed,Traffic_Type
Potrai,2218,Kretingalė–Bruzdeilynas,15,2023-11-14,00:00:00,positive,0,,normal,negative,0,,normal
Šilai,A2,Vilnius–Panevėžys,15,2023-11-14,00:00:00,negative,83,104.21,heavy,positive,71,107.71,heavy
IX fortas,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,positive,176,80.12,normal,negative,184,24.77,slow
Gelnai,A8,Panevėžys–Aristava–Sitkūnai,15,2023-11-14,00:00:00,negative,80,82.91,normal,positive,79,83.56,normal
Užubaliai,A2,Vilnius–Panevėžys,15,2023-11-14,00:00:00,negative,439,78.98,normal,positive,225,77.57,heavy
Mikiškiai,192,Skapiškis–Pandėlys,14,2023-11-14,00:00:00,negative,8,81.06,normal,positive,10,78.23,heavy
Piliakalniai,1506,Satkūnai–Panoteriai–Jasudai,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Smilgiai,A9,Panevėžys–Šiauliai,15,2023-11-14,00:00:00,negative,52,91.06,normal,positive,38,84.93,normal
Šaukava,174,Ukmergė–Raguva–Nevėžis,15,2023-11-14,00:00:00,positive,9,82.84,normal,negative,14,92.96,normal
Dvarčiškiai,3808,Slavikai–Sudargas,15,2023-11-14,00:00:00,negative,2,58.95,heavy,positive,0,,normal
Galalauskiai,1416,Didžiasalis–Navikai–Vosiūnai,15,2023-11-14,00:00:00,negative,6,72.78,normal,positive,0,,normal
Ožkabaliai,5107,Vilkaviškis–Kalvarija,15,2023-11-14,00:00:00,positive,0,,normal,negative,1,95.2,normal
Margininkai,3019,Mairiškiai–Žibartoniai–Gudžiūnai,15,2023-11-14,00:00:00,positive,0,,normal,negative,0,,normal
Kieliūgala,3011,Raguva–Šilai–Mikėnai,15,2023-11-14,00:00:00,positive,0,,normal,negative,0,,normal
Akademija,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-14,00:00:00,negative,284,86.96,normal,positive,276,87.08,normal
Visbarai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,positive,0,,normal,negative,0,,normal
Alkiškiai,156,Naujoji Akmenė–Venta,15,2023-11-14,00:00:00,positive,18,80.51,heavy,negative,31,81.87,normal
Miškonys,102,Vilnius–Švenčionys–Zarasai,15,2023-11-14,00:00:00,positive,63,74.35,normal,negative,124,77.98,normal
Medininkai,A3,Vilnius–Minskas,15,2023-11-14,00:00:00,positive,8,46.9,slow,negative,12,65.06,slow
Klaipėda,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,negative,256,83.31,normal,positive,268,88.47,normal
Aukštadvaris,A16,Vilnius–Prienai–Marijampolė,15,2023-11-14,00:00:00,negative,35,83.07,normal,positive,22,86.73,normal
Pyšna,A15,Vilnius–Lyda,15,2023-11-14,00:00:00,negative,59,81.91,normal,positive,32,80.52,heavy
Dautartai,225,Raseiniai–Baisogala,15,2023-11-14,00:00:00,negative,18,92.4,normal,positive,11,90.08,normal
Nirtaičiai,148,Raseiniai–Tytuvėnai–Radviliškis,15,2023-11-14,00:00:00,positive,14,81.34,normal,negative,17,83.87,normal
Gaidėnai,4108,Upyna–Varsėdžiai–Naujasis Obelynas,15,2023-11-14,00:00:00,negative,1,40.6,slow,positive,0,,normal
Mažonai,4513,Mažonai–Šakvietis–Šilalė,15,2023-11-14,00:00:00,negative,0,,normal,positive,1,77.8,normal
Lapės,232,Vilijampolė–Žeimiai–Šėta,15,2023-11-14,00:00:00,positive,41,77.31,heavy,negative,36,87.74,normal
Gynėvė,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,negative,102,73.73,slow,positive,97,104.16,normal
Yliai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,negative,84,110.46,heavy,positive,99,111.25,heavy
Bareiškiai,123,Biržai–Pandėlys–Rokiškis,15,2023-11-14,00:00:00,positive,23,91.53,normal,negative,12,87.59,normal
Poškaičiai,5207,Nemenčinė–Eitminiškės–Paberžė,15,2023-11-14,00:00:00,positive,8,78.81,normal,negative,7,80.17,normal
Gribžiniai,216,Gargždai–Kretinga,15,2023-11-14,00:00:00,positive,30,76.2,heavy,negative,41,79.38,heavy
Užliedžiai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Kryžiškės,202,Vaidotai–Baltoji Vokė,15,2023-11-14,00:00:00,positive,22,62.65,slow,negative,32,74.62,heavy
Naujieji Valkininkai,A4,Vilnius–Varėna–Gardinas,15,2023-11-14,00:00:00,positive,40,55.86,normal,negative,41,58.48,normal
Pumpėnai,A10,Panevėžys–Pasvalys–Ryga,15,2023-11-14,00:00:00,negative,39,42.36,slow,positive,85,58.97,slow
Libariškis,151,Pakruojis–Linkuva,15,2023-11-14,00:00:00,negative,26,75.47,heavy,positive,23,80.9,heavy
Prūsiškiai,3302,Išlaužas–Klebiškis–Igliauka,15,2023-11-14,00:00:00,negative,0,,normal,positive,1,50.9,slow
Kaišiadorys,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,negative,88,106.61,heavy,positive,270,98.89,heavy
Paluknys,A4,Vilnius–Varėna–Gardinas,15,2023-11-14,00:00:00,positive,67,75.06,heavy,negative,72,79.22,heavy
Čerbai,1702,Šimkaičiai–Stakiai–Graužėnai,15,2023-11-14,00:00:00,negative,2,89.5,normal,positive,4,71.43,normal
Didžiulio ež.,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,negative,368,98.05,normal,positive,268,99.6,normal
Maliancai,4715,Drabužninkai II–Bijūnai I,15,2023-11-14,00:00:00,positive,3,76.63,heavy,negative,3,57.57,heavy
Rumšiškės,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,negative,296,109.05,normal,positive,277,104.71,heavy
Gluobiai,3802,Miknaičiai–Slavikai–Kiduliai,15,2023-11-14,00:00:00,negative,1,22.6,slow,positive,0,,normal
Eišiškės,105,Pirčiupiai–Eišiškės,15,2023-11-14,00:00:00,positive,1,74.1,heavy,negative,1,94.9,normal
Dauparai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,negative,171,102.8,heavy,positive,246,100.48,heavy
Kernai,3707,Puodkaliai–Daukšiai,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Verėduva,196,Ariogala–Raseiniai–Kryžkalnis,15,2023-11-14,00:00:00,negative,7,87.49,normal,positive,7,84.56,normal
Gibaičiai,4015,Naisiai–Gibaičiai–Meškuičiai,15,2023-11-14,00:00:00,positive,2,73.7,normal,negative,1,67.9,normal
KurėnaiII,A2,Vilnius–Panevėžys,15,2023-11-14,00:00:00,negative,75,96.64,slow,positive,67,85.44,slow
Virinta,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-14,00:00:00,negative,14,71.31,heavy,positive,29,69.27,heavy
Nemirseta,A13,Klaipėda–Liepoja,15,2023-11-14,00:00:00,positive,83,85.51,normal,negative,84,85.98,normal
Diktarai,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-14,00:00:00,negative,16,70.75,heavy,positive,30,84.15,heavy
Markutiškės,A16,Vilnius–Prienai–Marijampolė,15,2023-11-14,00:00:00,positive,30,81.3,normal,negative,30,82.89,normal
Smiltynė 3,A9,Panevėžys–Šiauliai,15,2023-11-14,00:00:00,negative,87,76.14,heavy,positive,93,74.35,heavy
Piniava,A10,Panevėžys–Pasvalys–Ryga,15,2023-11-14,00:00:00,negative,42,61.85,heavy,positive,41,62.53,heavy
WIM į Klaipėdą,A1,Vilnius–Kaunas–Klaipėda,2,2022-04-06,00:00:00,,0,0.0,0,,0,0.0,0
Radikiai,210,Joniškio aplinkkelis,15,2023-11-14,00:00:00,negative,29,88.32,normal,positive,16,92.49,normal
Vievis,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,negative,2,34.9,slow,positive,387,79.93,slow
Eičiai,147,Tauragė–Pašventys,15,2023-11-14,00:00:00,negative,19,88.43,normal,positive,15,80.37,heavy
Skardupiai,3807,Kiduliai–Gelgaudiškis–Gerdžiūnai,15,2023-11-14,00:00:00,positive,2,67.25,normal,negative,1,85.0,normal
Liminėlis,A6,Kaunas–Zarasai–Daugpilis,14,2023-11-14,00:00:00,negative,19,87.29,normal,positive,9,85.01,normal
Rūdėniškės,113,Dūkštas–Visaginas,16,2023-11-14,00:00:00,positive,0,,normal,negative,9,80.44,heavy
Ramygala,A8,Panevėžys–Aristava–Sitkūnai,15,2023-11-14,00:00:00,negative,49,79.78,heavy,positive,53,80.81,heavy
Ąžuolytė,3018,Krekenava–Linkaučiai–Truskava,15,2023-11-14,00:00:00,negative,1,87.6,normal,positive,0,,normal
Bernotiškiai,A2,Vilnius–Panevėžys,15,2023-11-14,00:00:00,negative,3,29.53,queuing,positive,126,82.91,slow
Upytė,195,Kėdainiai–Krekenava–Panevėžys,16,2023-11-14,00:00:00,positive,24,102.65,normal,negative,31,84.29,normal
Giedraičiai,A14,Vilnius–Utena,15,2023-11-14,00:00:00,negative,46,93.24,normal,positive,52,90.92,normal
Knitiškiai,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-14,00:00:00,negative,31,91.67,normal,positive,34,91.97,normal
Meiliškiai,2016,Mantviliškis–Ažytėnai–Vosyliškis,15,2023-11-14,00:00:00,negative,1,74.4,normal,positive,2,73.25,normal
Kirtimai II,A19,Vilniaus pietinis aplinkkelis,15,2023-11-14,00:00:00,negative,160,87.69,normal,positive,210,87.14,normal
Vainatrakis,1941,Vainatrakis–Margininkai,15,2023-11-14,00:00:00,positive,0,,normal,negative,14,96.76,normal
Pažagieniai,A2,Vilnius–Panevėžys,15,2023-11-14,00:00:00,positive,59,91.85,normal,negative,65,91.15,normal
Malkėstas,A14,Vilnius–Utena,15,2023-11-14,00:00:00,positive,37,91.41,normal,negative,27,89.06,normal
Vynupė,A17,Panevėžio aplinkkelis,15,2023-11-14,00:00:00,positive,49,81.29,normal,negative,97,84.97,normal
Lančiūnava,A8,Panevėžys–Aristava–Sitkūnai,15,2023-11-14,00:00:00,positive,58,87.59,normal,negative,48,84.95,normal
Ricieliai,2521,Stračiūnai–Ricieliai–Gailiūnai,15,2023-11-14,00:00:00,negative,6,87.42,normal,positive,1,78.8,normal
Berniškiai,3106,Krinčinas–Ličiūnai–Mieliūnai,15,2023-11-14,00:00:00,negative,4,74.2,normal,positive,1,95.1,normal
Duliai,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-14,00:00:00,positive,8,80.41,heavy,negative,0,,normal
Lazdėnai,4735,Rykantai–Lazdėnai,15,2023-11-14,00:00:00,positive,1,43.6,slow,negative,1,58.0,heavy
Kanciškiai,5243,Karklinė–Unėniškės,15,2023-11-14,00:00:00,negative,1,82.6,normal,positive,0,,normal
Užukampis,A16,Vilnius–Prienai–Marijampolė,15,2023-11-14,00:00:00,negative,91,74.24,heavy,positive,106,72.57,heavy
Aukštvilkiai,4526,Lauksargiai–Aukštvilkiai,15,2023-11-14,00:00:00,negative,2,74.45,normal,positive,0,,normal
Tauzai,169,Skuodas–Plungė,15,2023-11-14,00:00:00,positive,14,91.23,normal,negative,16,93.21,normal
Sriauptai,218,Kretinga–Skuodas,15,2023-11-14,00:00:00,negative,14,81.74,normal,positive,9,83.2,normal
Grygališkė,165,Šilalė–Šilutė,15,2023-11-14,00:00:00,positive,18,86.34,normal,negative,12,88.3,normal
Pagryniai,4239,Šlažai–Pagryniai,15,2023-11-14,00:00:00,positive,0,,normal,negative,5,60.12,heavy
Mykoliškiai,A3,Vilnius–Minskas,15,2023-11-14,00:00:00,negative,41,75.09,heavy,positive,27,77.92,heavy
Viksviniai,1201,Anykščiai–Kurkliai–Balninkai–Želva,15,2023-11-14,00:00:00,negative,3,85.33,normal,positive,2,72.4,normal
Didžioji Riešė,A14,Vilnius–Utena,15,2023-11-14,00:00:00,positive,137,71.27,heavy,negative,157,78.32,heavy
Šlapšilė,228,Dauparai–Gargždai–Vėžaičiai,15,2023-11-14,00:00:00,negative,40,73.25,heavy,positive,39,67.81,heavy
Keteriai,4516,Skaudvilė–Bijotai–Karyznos,15,2023-11-14,00:00:00,negative,6,63.4,normal,positive,2,63.9,normal
Paviščionys,3512,Raseiniai–Paupys–Eržvilkas,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Bulinskiai,A14,Vilnius–Utena,15,2023-11-14,00:00:00,negative,0,,normal,positive,38,89.23,normal
Alkupis,4102,Laukuva–Žadeikiai–Kvėdarna,15,2023-11-14,00:00:00,negative,1,51.8,slow,positive,2,43.9,slow
Budrikai,227,Jakai–Dovilai–Laugaliai,15,2023-11-14,00:00:00,negative,46,65.92,normal,positive,53,61.48,slow
Paežeriai,A14,Vilnius–Utena,15,2023-11-14,00:00:00,negative,96,91.46,normal,positive,109,94.31,normal
